date,product_id,category,region,channel,sales,units_sold,promotion_flag,discount_rate,campaign_name,promotion_cost
2025-01-01,SKI-N,Skincare,North,Retail,3304.0,118,0,0.0,No Campaign,0.0
2025-01-01,SKI-S,Skincare,South,Retail,3276.0,117,0,0.0,No Campaign,0.0
2025-01-01,SKI-E,Skincare,East,Shopee,3759.0,179,1,0.25,Bundle Deal,908.07
2025-01-01,SKI-W,Skincare,West,Amazon,3192.0,114,0,0.0,No Campaign,0.0
2025-01-01,MAK-N,Makeup,North,Retail,1826.0,83,0,0.0,No Campaign,0.0
2025-01-01,MAK-S,Makeup,South,Brand.com,1826.0,83,0,0.0,No Campaign,0.0
2025-01-01,MAK-E,Makeup,East,Retail,2002.0,91,0,0.0,No Campaign,0.0
2025-01-01,MAK-W,Makeup,West,Brand.com,1298.0,59,0,0.0,No Campaign,0.0
2025-01-01,HAI-N,Haircare,North,Retail,1458.0,81,0,0.0,No Campaign,0.0
2025-01-01,HAI-S,Haircare,South,Shopee,1386.0,77,0,0.0,No Campaign,0.0
2025-01-01,HAI-E,Haircare,East,Shopee,1368.0,76,0,0.0,No Campaign,0.0
2025-01-01,HAI-W,Haircare,West,Brand.com,1494.0,83,0,0.0,No Campaign,0.0
2025-01-01,FRA-N,Fragrance,North,Retail,2925.0,65,0,0.0,No Campaign,0.0
2025-01-01,FRA-S,Fragrance,South,Shopee,1980.0,44,0,0.0,No Campaign,0.0
2025-01-01,FRA-E,Fragrance,East,Amazon,2115.0,47,0,0.0,No Campaign,0.0
2025-01-01,FRA-W,Fragrance,West,Brand.com,3015.0,67,0,0.0,No Campaign,0.0
2025-01-02,SKI-N,Skincare,North,Brand.com,3920.0,140,0,0.0,No Campaign,0.0
2025-01-02,SKI-S,Skincare,South,Brand.com,3248.0,116,0,0.0,No Campaign,0.0
2025-01-02,SKI-E,Skincare,East,Amazon,3164.0,113,0,0.0,No Campaign,0.0
2025-01-02,SKI-W,Skincare,West,Brand.com,2492.0,89,0,0.0,No Campaign,0.0
2025-01-02,MAK-N,Makeup,North,Shopee,2376.0,108,0,0.0,No Campaign,0.0
2025-01-02,MAK-S,Makeup,South,Shopee,1518.0,69,0,0.0,No Campaign,0.0
2025-01-02,MAK-E,Makeup,East,Retail,2332.0,106,0,0.0,No Campaign,0.0
2025-01-02,MAK-W,Makeup,West,Brand.com,2534.4,144,1,0.2,Spring Promo,1126.3
2025-01-02,HAI-N,Haircare,North,Retail,1795.5,133,1,0.25,Bundle Deal,530.9
2025-01-02,HAI-S,Haircare,South,Amazon,1278.0,71,0,0.0,No Campaign,0.0
2025-01-02,HAI-E,Haircare,East,Retail,1895.4,117,1,0.1,Member Day,319.59
2025-01-02,HAI-W,Haircare,West,Retail,1458.0,81,0,0.0,No Campaign,0.0
2025-01-02,FRA-N,Fragrance,North,Shopee,2745.0,61,0,0.0,No Campaign,0.0
2025-01-02,FRA-S,Fragrance,South,Brand.com,2520.0,56,0,0.0,No Campaign,0.0
2025-01-02,FRA-E,Fragrance,East,Amazon,2880.0,64,0,0.0,No Campaign,0.0
2025-01-02,FRA-W,Fragrance,West,Retail,1350.0,30,0,0.0,No Campaign,0.0
2025-01-03,SKI-N,Skincare,North,Brand.com,3416.0,122,0,0.0,No Campaign,0.0
2025-01-03,SKI-S,Skincare,South,Retail,3416.0,122,0,0.0,No Campaign,0.0
2025-01-03,SKI-E,Skincare,East,Brand.com,3808.0,136,0,0.0,No Campaign,0.0
2025-01-03,SKI-W,Skincare,West,Brand.com,3108.0,111,0,0.0,No Campaign,0.0
2025-01-03,MAK-N,Makeup,North,Shopee,2393.6,136,1,0.2,Bundle Deal,1007.44
2025-01-03,MAK-S,Makeup,South,Shopee,2156.0,98,0,0.0,No Campaign,0.0
2025-01-03,MAK-E,Makeup,East,Retail,1722.6,87,1,0.1,Member Day,206.95
2025-01-03,MAK-W,Makeup,West,Brand.com,1958.0,89,0,0.0,No Campaign,0.0
2025-01-03,HAI-N,Haircare,North,Brand.com,1866.6,122,1,0.15,Bundle Deal,718.79
2025-01-03,HAI-S,Haircare,South,Retail,1656.0,92,0,0.0,No Campaign,0.0
2025-01-03,HAI-E,Haircare,East,Shopee,1278.0,71,0,0.0,No Campaign,0.0
2025-01-03,HAI-W,Haircare,West,Amazon,1080.0,60,0,0.0,No Campaign,0.0
2025-01-03,FRA-N,Fragrance,North,Amazon,2835.0,63,0,0.0,No Campaign,0.0
2025-01-03,FRA-S,Fragrance,South,Amazon,2700.0,60,0,0.0,No Campaign,0.0
2025-01-03,FRA-E,Fragrance,East,Brand.com,3375.0,100,1,0.25,Member Day,872.14
2025-01-03,FRA-W,Fragrance,West,Amazon,2835.0,63,0,0.0,No Campaign,0.0
2025-01-04,SKI-N,Skincare,North,Shopee,3388.0,121,0,0.0,No Campaign,0.0
2025-01-04,SKI-S,Skincare,South,Retail,3192.0,114,0,0.0,No Campaign,0.0
2025-01-04,SKI-E,Skincare,East,Retail,3556.0,127,0,0.0,No Campaign,0.0
2025-01-04,SKI-W,Skincare,West,Amazon,2828.0,101,0,0.0,No Campaign,0.0
2025-01-04,MAK-N,Makeup,North,Brand.com,2464.0,112,0,0.0,No Campaign,0.0
2025-01-04,MAK-S,Makeup,South,Retail,2425.5,147,1,0.25,Bundle Deal,717.75
2025-01-04,MAK-E,Makeup,East,Brand.com,2090.0,95,0,0.0,No Campaign,0.0
2025-01-04,MAK-W,Makeup,West,Brand.com,2024.0,92,0,0.0,No Campaign,0.0
2025-01-04,HAI-N,Haircare,North,Brand.com,1224.0,68,0,0.0,No Campaign,0.0
2025-01-04,HAI-S,Haircare,South,Shopee,1490.4,92,1,0.1,Spring Promo,1082.64
2025-01-04,HAI-E,Haircare,East,Brand.com,1620.0,90,0,0.0,No Campaign,0.0
